ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AN8068571086,SCHLUMBERGER,,,,45.63,38.22,28.43,28.74,44.83,50.63,46.37,48.06,46.49,44.29,51.12,49.01,57.07,55.5,69.43,73.99,75.7,75.17,76.76,83.94,83.01
AT000000STR1,STRABAG SE,,,,,,,,,33.51,42.33,36.21,43.29,46.29,43.1,42.63,50.04,51.45,53.53,63.81,69.75,69.93,69.1,69.73,65.46
AT00000VIE62,FLUGHAFEN WIEN,,,,,52.79,51.85,28.62,28.01,17.12,23.99,29.82,27.66,33.82,37.96,36.99,34.32,38.18,38.01,54.23,49.84,50.09,47.77,45.21,
AT0000606306,RAIFFEISEN BANK INTL.,,,,,,,31.11,47.18,40.73,42.61,39.21,46.78,52.03,41.61,41.14,41.43,42.22,49.6,51.52,62.7,66.41,70.85,63.41,73.86
AT0000652011,ERSTE GROUP BANK,,,,29.67,24.3,34.71,37.83,29.2,39.02,36.72,40.17,32.84,38.33,45.36,40.43,52.8,51.01,50.82,69.33,83.66,85.24,80.8,76.2,73.83
AT0000720008,TELEKOM AUSTRIA,,,,,,,35.39,27.48,57.67,69.35,67.94,61.78,69.31,73.48,74.14,59.85,62.55,54.42,54.76,56.39,54.63,62.93,58.55,61.07
AT0000730007,ANDRITZ,,,,55.35,43.62,48.74,32.2,31.04,32.03,30.08,29.69,53.97,39.09,42.43,42.77,51.38,48.98,57.43,64.15,71.12,72.46,75.43,71.96,72.75
AT0000743059,OMV,,,,66.63,68.64,75.86,65.36,64.69,64.99,74.42,75.5,80.03,76.41,81.34,80.76,75.68,76.48,79.64,77.64,77.35,77.64,81.33,84.16,84.0
AT0000746409,VERBUND,,,,,,,29.49,41.38,41.27,60.91,58.48,63.07,60.45,61.99,62.81,64.11,68.84,73.07,69.85,67.26,74.93,71.89,77.12,71.58
AT0000831706,WIENERBERGER,,,,34.4,39.04,43.91,46.13,34.04,51.22,41.72,51.88,56.46,53.85,56.05,52.01,55.6,66.76,63.24,64.0,71.2,70.68,67.05,69.88,73.44
AT0000908504,VIENNA INSURANCE GROUP A,,,,,,15.58,35.76,19.99,17.27,39.16,52.15,43.91,38.46,39.11,44.49,42.06,44.51,56.65,59.06,61.48,57.81,66.41,67.29,67.05
AT0000937503,VOESTALPINE,,,,18.57,38.46,29.41,8.34,13.01,16.9,15.89,32.18,40.7,45.93,41.55,45.01,50.29,52.44,67.8,59.29,61.65,61.8,69.39,63.21,61.72
AT0000938204,MAYR-MELNHOF KARTON,,,,,,20.91,24.19,33.07,26.84,27.99,24.13,21.99,37.82,36.43,35.14,34.79,36.1,35.17,37.22,38.73,43.26,43.57,54.51,60.45
AT0000A21KS2,IMMOFINANZ,,,,17.33,10.22,15.72,14.23,9.65,19.41,8.41,6.24,21.88,22.43,31.97,35.69,37.09,30.98,33.34,49.02,57.26,53.45,52.59,59.02,56.11
AU000000ALL7,ARISTOCRAT LEISURE,,,,,,25.12,32.53,43.43,38.36,26.33,38.53,36.56,33.02,27.63,34.49,40.4,38.0,40.5,39.52,40.55,46.81,45.22,48.28,53.95
AU000000AMP6,AMP,,,,,,31.46,40.38,36.32,58.35,62.5,69.81,72.24,69.35,65.33,72.16,72.81,64.36,70.21,76.29,73.17,71.3,64.8,65.83,
AU000000ANN9,ANSELL,,,,,,30.29,29.46,32.27,39.52,40.9,45.26,55.19,55.27,49.17,52.42,57.61,58.15,63.65,68.99,75.33,73.19,79.9,76.19,74.84
AU000000ANZ3,ANZ GROUP HOLDINGS,,,,39.97,47.92,61.43,67.61,77.15,81.45,81.82,87.97,92.98,90.4,88.39,89.97,91.13,87.1,89.93,89.3,87.72,86.71,85.62,86.44,81.31
AU000000ASX7,ASX,,,,,,41.95,33.86,48.87,32.88,50.2,51.7,56.17,53.23,51.58,59.49,60.0,60.69,56.43,60.08,57.7,57.43,52.44,55.73,52.75
AU000000BEN6,BENDIGO & ADELAIDE BANK,,,,,,,36.18,37.23,27.19,40.2,50.83,58.71,58.46,67.97,65.3,61.28,59.39,59.64,62.86,56.09,54.38,60.95,61.26,
AU000000BHP4,BHP GROUP,,,,55.89,66.75,82.12,65.24,60.43,84.31,81.76,84.56,85.99,86.59,86.81,85.76,88.43,90.17,90.22,89.68,89.22,85.96,88.18,87.86,88.91
AU000000BLD2,BORAL,,,,,,34.77,41.48,48.15,57.46,62.66,73.96,67.37,61.51,61.59,51.77,44.64,50.91,52.31,63.84,64.88,78.97,78.57,73.33,67.14
AU000000BSL0,BLUESCOPE STEEL,,,,,,26.8,29.61,25.37,36.44,39.9,39.89,50.69,49.94,56.35,53.6,53.21,61.83,64.4,80.27,76.52,75.47,72.91,72.82,73.35
AU000000CBA7,COMMONWEALTH BK.OF AUS.,,,,22.63,43.14,48.35,56.64,53.71,53.29,54.18,72.33,75.92,71.14,72.17,72.42,70.79,78.59,81.63,82.01,82.45,86.1,87.29,89.63,88.25
AU000000CGF5,CHALLENGER,,,,,,18.2,18.01,13.94,14.37,20.74,34.67,38.75,41.58,41.97,44.38,53.77,53.06,47.53,46.87,46.67,49.25,50.13,53.42,51.76
AU000000CIM7,CIMIC GROUP DEAD - DELIST.11/05/22,,,,,,14.09,13.46,26.91,34.69,36.51,34.27,37.21,42.52,42.24,46.84,42.31,54.6,56.01,56.67,59.38,65.78,64.04,61.95,
AU000000COH5,COCHLEAR,,,,,,20.57,16.63,12.89,18.46,22.63,22.3,27.09,24.22,26.79,30.26,35.72,43.88,38.44,48.68,53.52,65.98,58.18,59.88,63.75
