ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AN8068571086,SCHLUMBERGER,30859.99,45489.11,31711.7,24440.01,32063.06,39416.34,57229.88,74415.94,117637.4,50633.77,78157.75,113925.6,91680.5,92046.13,117803.4,108924.4,87631.56,116800.3,93352.81,49897.35,55657.47,30394.49,42031.31,75806.25
ARALUA010258,ALUAR,1129.31,1038.54,1009.4,992.33,1546.81,1499.61,1465.58,1799.46,2472.38,1051.19,1973.17,2670.88,1512.32,1230.68,1442.16,2495.72,2541.52,1765.81,2260.82,1282.53,1515.21,1580.34,2549.38,2853.52
ARP125991090,BBVA BANCO FRANCES,1656.3,1450.89,618.41,426.66,1067.04,1114.77,1133.92,1475.76,1264.44,518.69,1143.0,2072.78,990.72,1254.71,1674.58,3371.07,3770.49,3155.11,5011.92,2301.95,1442.81,1120.45,1330.42,1591.32
ARSIDE010029,TERNIUM ARGENTINA SOCIEDAD ANONIMA,1414.37,859.63,375.27,604.07,1836.58,2273.6,2922.13,2765.02,2702.53,1378.51,2203.12,3053.02,1816.46,1451.79,2113.7,3217.92,2990.47,2668.87,3455.3,1577.27,1935.16,2495.76,5498.37,5814.86
AT00000VIE62,FLUGHAFEN WIEN,537.09,794.55,560.96,705.15,985.36,1589.85,1498.41,2060.23,2425.45,926.84,1048.49,1443.25,797.25,1190.28,1765.22,1952.09,1998.43,2073.22,3394.09,3312.76,3559.53,3129.62,2540.95,2900.21
AT0000652011,ERSTE GROUP BANK,1956.67,2269.47,2677.13,4006.48,7354.92,12896.98,13399.87,24155.57,22427.02,7138.94,14115.54,17827.72,6891.26,12498.19,15002.04,10003.77,13498.31,12613.95,18633.43,14272.63,16191.42,13115.57,20210.51,13715.54
AT0000743059,OMV,2611.95,2091.29,2262.75,2651.31,4021.35,9039.58,17516.73,17006.48,24307.14,7806.73,13213.7,12516.44,9958.36,11803.41,15689.64,8716.35,9289.96,11584.6,20761.05,14309.77,18398.0,13214.41,18590.05,16800.81
AT0000746409,VERBUND,2111.95,1531.28,1129.55,1285.83,1763.91,3364.3,5367.35,8049.1,10571.3,6835.27,6437.19,6367.03,4582.16,4210.55,3639.54,3150.65,2193.28,2724.73,4117.86,7246.8,8549.44,14549.09,19145.95,14289.58
AT0000831706,WIENERBERGER,1503.25,1247.43,974.04,1161.06,1743.94,3543.41,2957.05,4400.99,4655.19,1388.67,2154.93,2253.04,1063.23,1073.66,1866.5,1627.64,2198.92,2044.74,2846.44,2418.25,3450.66,3675.69,4236.26,2690.25
AT0000908504,VIENNA INSURANCE GROUP A,152.12,144.49,138.36,164.33,201.78,312.25,6174.2,7365.86,8443.02,4291.7,6611.16,6678.87,5087.87,6813.71,6389.51,5743.21,3516.61,2875.67,3960.04,2967.36,3649.56,3257.6,3624.47,3053.25
AT0000937503,VOESTALPINE,1280.26,913.97,943.21,961.96,1613.35,3076.04,3977.46,8933.41,11888.23,3441.26,6199.15,8084.84,4755.46,6288.89,8300.58,6843.43,5387.07,6881.03,10554.89,5261.45,4982.59,6401.02,6497.45,4722.09
AT0000938204,MAYR-MELNHOF KARTON,553.37,529.06,568.01,887.74,1442.47,2043.68,1670.28,2246.94,2384.63,1551.42,2272.58,2335.87,1700.82,2132.71,2480.4,2081.3,2487.71,2124.27,2941.88,2514.86,2685.08,4037.74,4016.58,3227.43
AT0000A21KS2,IMMOFINANZ,268.68,355.03,601.6,944.33,1600.29,2408.73,3210.86,6373.21,4663.85,312.65,1646.52,4467.29,3434.76,4727.35,5239.59,2829.46,2449.46,1907.46,2877.55,2677.85,3007.07,2560.04,3160.32,1719.74
AU000000ABC7,ADBRI,213.74,105.22,181.86,356.68,612.39,722.1,835.16,1200.79,1659.21,808.9,1568.35,2148.43,1885.18,2064.6,2096.27,1893.93,2242.5,2554.37,3316.1,1955.78,1585.13,1686.14,1338.06,732.47
AU000000ALL7,ARISTOCRAT LEISURE,1503.26,1213.78,1524.49,1202.41,609.16,3719.73,4262.07,5861.58,4586.37,1231.71,1928.34,1636.6,1225.11,1803.31,2313.68,3389.19,4732.8,7166.78,11836.51,9817.79,15113.34,15274.83,21211.91,13606.31
AU000000AMP6,AMP,11994.9,12410.93,10652.16,7299.28,6965.48,10586.38,10547.97,14925.43,16379.96,7530.7,12473.19,11356.97,11911.28,14633.68,11616.44,13312.61,12545.83,10794.23,11846.95,5066.45,4626.19,4136.92,2398.35,2726.2
AU000000ANN9,ANSELL,1450.51,773.17,490.72,789.72,899.7,1234.31,1296.77,1299.31,1468.12,1189.49,1310.67,1728.78,1947.62,2081.25,2824.92,2822.27,2397.58,2638.23,2724.45,2061.23,2664.25,3449.44,2927.39,2435.39
AU000000ANZ3,ANZ GROUP HOLDINGS,11368.49,12019.93,13619.69,14725.36,23983.7,29488.19,32169.88,40894.94,46288.58,23005.51,52119.29,62134.23,56382.32,71351.76,79123.42,72392.23,59287.32,64672.83,66029.24,49409.65,49104.76,49844.19,56316.2,48188.94
AU000000ASX7,ASX,778.21,711.63,586.9,655.47,1312.88,1642.38,2449.29,5135.42,9084.7,3974.39,5414.32,6764.41,5490.63,5674.78,6366.76,5820.69,5980.61,6972.71,8306.81,8169.23,10670.68,10755.99,13075.9,8930.09
