ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AN8068571086,SCHLUMBERGER,1708.01,2457.72,1711.86,1331.97,1759.75,2179.32,3195.35,4188.02,6579.19,2864.7,4474.24,5818.25,4819.32,4965.22,6557.66,6319.66,5287.43,6530.15,5396.53,2987.99,3517.46,1975.54,2757.49,4997.02
ARALUA010258,ALUAR,1547.04,1455.52,1429.97,1419.07,2369.57,2506.8,2292.15,2960.51,4078.42,1742.2,2582.03,3502.62,2065.6,1704.01,2011.67,3486.85,3568.02,2540.32,3462.96,2201.45,2743.68,2861.62,4674.56,5524.11
ARP125991090,BBVA BANCO FRANCES,418.23,378.24,167.49,65.8,164.57,147.12,149.64,196.27,170.85,73.66,163.85,331.35,174.36,220.82,294.72,594.05,664.44,568.92,822.1,382.09,247.01,191.83,227.77,299.57
ARSIDE010029,TERNIUM ARGENTINA SOCIEDAD ANONIMA,178.4,110.24,48.13,77.47,239.35,299.62,400.09,383.8,383.02,198.77,317.67,456.69,312.9,257.66,407.03,646.67,614.09,581.6,771.03,359.91,462.42,596.38,1313.88,1463.58
AT00000VIE62,FLUGHAFEN WIEN,147.79,169.02,126.01,166.81,248.09,417.1,408.74,580.53,702.81,277.04,349.14,505.73,293.67,451.48,684.58,771.62,806.23,853.19,1422.45,1416.63,1557.53,1369.41,1111.83,1269.03
AT0000652011,ERSTE GROUP BANK,102.94,108.87,131.07,169.47,316.5,553.98,583.49,822.2,769.31,248.28,454.52,585.2,223.52,401.48,451.57,303.59,409.64,391.16,594.97,471.37,557.68,451.74,724.56,518.33
AT0000743059,OMV,393.88,323.77,363.83,444.88,698.11,1450.14,2858.51,2829.82,4132.94,1357.55,2389.33,2350.5,1785.15,2220.12,3044.74,1763.66,1970.76,2554.7,4696.74,3335.71,4458.82,3450.98,5033.33,4763.37
AT0000746409,VERBUND,669.42,490.55,365.21,421.52,588.39,1140.74,1851.66,2815.61,3781.1,2492.38,2435.25,2229.24,1633.25,1541.15,1382.09,1279.7,907.9,1161.74,1787.8,3197.6,3808.49,6593.93,8769.64,6614.67
AT0000831706,WIENERBERGER,2579.95,2186.26,1776.97,2322.13,3626.22,6680.33,5744.58,8790.41,8444.76,2617.52,3210.74,3356.92,1596.04,1638.22,2882.81,2537.95,3437.56,3262.29,4602.01,3984.99,5887.01,6511.05,7637.8,5152.51
AT0000908504,VIENNA INSURANCE GROUP A,166.69,161.31,157.37,190.48,238.48,375.8,678.02,820.61,954.66,407.06,664.8,689.89,539.03,749.48,723.95,672.41,428.61,361.64,514.29,399.26,513.37,485.31,557.31,495.39
AT0000937503,VOESTALPINE,185.6,137.47,149.64,131.84,228.72,453.78,608.37,1403.3,1838.54,557.18,1040.52,1379.22,829.24,1117.94,1524.52,1291.55,1030.19,1360.61,2125.33,1097.0,1073.09,1392.87,1433.84,1107.57
AT0000938204,MAYR-MELNHOF KARTON,95.54,94.09,104.19,166.42,277.36,401.69,339.03,463.76,545.9,364.23,550.43,637.74,475.53,612.54,732.03,648.53,806.69,696.87,991.37,868.87,953.4,1469.81,1489.0,1222.66
AT0000A21KS2,IMMOFINANZ,132.76,137.16,142.67,180.6,236.64,286.65,288.22,434.8,322.06,21.59,113.69,135.6,99.91,146.16,169.87,115.33,103.98,91.6,124.38,119.08,138.82,107.44,137.46,66.51
AU000000ABC7,ADBRI,509.52,250.82,453.74,832.72,1489.74,1830.89,2205.63,3310.08,4737.72,2386.17,4307.76,6186.42,5723.4,6607.61,7027.27,6546.75,8058.2,9506.79,12810.23,7809.38,6665.75,7280.81,5985.49,3455.45
AU000000ALL7,ARISTOCRAT LEISURE,468.13,381.23,456.25,364.1,190.67,1167.88,1391.41,1971.08,1597.11,472.85,681.39,586.64,442.39,658.01,864.95,1137.88,1605.92,2462.69,4124.1,3469.56,5433.74,5563.66,7434.76,4923.84
AU000000AMP6,AMP,48.55,50.79,43.99,30.13,24.4,38.02,41.47,63.32,75.08,34.78,60.11,56.48,46.33,59.28,49.07,58.93,58.03,52.62,61.82,28.5,22.62,20.23,12.34,14.98
