ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AN8068571086,SCHLUMBERGER,,,,35.98,42.15,41.28,42.05,49.26,45.72,34.93,31.99,38.55,31.47,41.31,35.41,46.74,46.22,64.41,65.88,73.6,72.93,79.13,87.06,86.11
AT000000STR1,STRABAG SE,,,,,,,,,42.56,41.5,33.35,32.27,33.44,39.81,42.32,36.03,37.51,37.97,77.52,77.44,81.25,81.14,80.54,75.93
AT00000VIE62,FLUGHAFEN WIEN,,,,,59.08,48.66,24.55,21.46,18.94,20.6,19.41,22.71,35.97,37.49,36.83,36.16,41.09,40.27,54.13,47.44,44.88,42.69,44.49,
AT0000606306,RAIFFEISEN BANK INTL.,,,,,,,31.72,35.99,30.04,34.03,25.67,65.58,61.71,49.06,51.3,51.14,53.54,71.45,75.91,90.95,91.57,87.49,86.93,85.91
AT0000652011,ERSTE GROUP BANK,,,,18.69,23.99,36.67,33.6,24.33,35.48,36.47,36.4,34.92,34.34,35.21,36.36,47.22,48.56,47.44,83.09,80.42,82.81,79.64,74.79,74.31
AT0000720008,TELEKOM AUSTRIA,,,,,,,21.23,19.4,56.13,59.13,65.76,63.31,65.02,74.4,73.83,68.47,66.16,62.4,63.65,60.42,57.78,75.31,71.21,71.83
AT0000730007,ANDRITZ,,,,32.87,32.99,24.85,23.63,31.41,25.33,20.98,17.63,66.62,51.95,47.5,50.11,52.07,45.57,56.84,59.24,75.01,76.17,76.0,76.78,77.3
AT0000743059,OMV,,,,78.25,81.79,87.23,79.14,86.15,76.46,90.18,83.4,88.1,76.81,80.92,83.16,83.34,86.89,86.48,82.98,82.7,82.43,83.21,90.87,89.33
AT0000746409,VERBUND,,,,,,,38.13,52.43,44.78,54.34,50.77,52.06,53.31,42.43,44.61,42.82,50.22,55.42,53.9,51.97,64.04,62.25,75.72,69.61
AT0000831706,WIENERBERGER,,,,36.44,28.3,44.7,34.8,31.49,48.33,19.92,22.91,30.29,32.29,36.42,28.24,37.79,52.64,40.23,41.11,43.32,44.13,53.72,76.84,74.36
AT0000908504,VIENNA INSURANCE GROUP A,,,,,,13.84,34.66,24.44,22.72,42.1,45.72,40.24,25.72,38.6,39.12,40.28,41.64,61.27,61.06,61.94,59.31,61.48,61.78,55.56
AT0000937503,VOESTALPINE,,,,20.72,57.01,49.45,12.02,17.02,13.81,17.37,31.68,35.65,40.85,36.68,40.37,47.55,48.13,71.26,65.79,62.63,59.43,74.13,69.86,67.57
AT0000938204,MAYR-MELNHOF KARTON,,,,,,24.93,14.68,28.39,20.57,30.05,29.31,25.45,35.71,37.88,38.38,33.74,41.62,35.86,43.92,47.36,50.82,52.68,66.0,70.67
AT0000A21KS2,IMMOFINANZ,,,,37.88,18.07,19.36,30.57,13.45,33.21,15.31,13.2,29.4,31.31,26.64,26.25,30.17,31.4,27.37,59.93,66.88,61.88,70.75,72.26,69.9
AU000000ALL7,ARISTOCRAT LEISURE,,,,,,4.02,21.3,46.61,40.28,34.76,32.82,30.35,29.08,28.13,32.81,31.36,31.39,30.88,30.27,30.39,34.09,47.43,49.98,51.02
AU000000AMP6,AMP,,,,,,19.2,37.4,32.44,61.28,45.55,52.82,61.8,62.74,57.92,63.77,68.98,67.08,68.77,72.37,72.54,65.21,58.6,66.27,
AU000000ANN9,ANSELL,,,,,,28.79,40.82,40.98,29.12,38.8,38.08,50.0,51.86,45.67,50.21,51.92,52.74,59.05,68.38,75.49,70.67,80.32,73.8,69.82
