AN8068571086,AT0000746409,AU000000BPT9,AU000000ERA9,AU000000ORG5,AU0000088338,BMG2108M2182,BMG2178K1009,BMG5320C1082,BMG6359F1370,BRCMIGACNPR3,BRCPLEACNPB9,BREGIEACNOR9,BRELETACNPB7,BRLIGTACNOR2,BRPETRACNPR6,BRSBSPACNOR5,BRTRPLACNPR1,CA00208D4084,CA13321L1085,CA1363851017,CA1367178326,CA29250N1050,CA2927661025,CA3495531079,CA4530384086,CA6744822033,CA74022D4075,CA8672241079,CA89346D1078,CH0048265513,CL0000000035,CL0002694637,CLP3615W1037,CLP3710M1090,CLP371861061,CNE000000HW5,CNE000000SK7,CNE1000002Z3,CNE1000003D8,CNE1000006Z4,CZ0005112300,DE0007037129,DE000ENAG999,ES0116870314,ES0130670112,ES0144580Y14,ES0173093024,ES0173516115,FI0009007132,FR0000051070,FR0000120271,FR0013181864,GB0001500809,GB0003395000,GB0004478896,GB0006449366,GB0007908733,GB0007980591,GB00B033F229,GB00B19Z1432,GB00B1FH8J72,GB00B39J2M42,GB00B572ZV91,GB00BDR05C01,GB00BNNTLN49,GB00BP6MXD84,GRS298343005,HK0002007356,HK0003000038,HK0006000050,HU0000153937,ID1000053705,INE002A01018,INE029A01011,INE036A01016,INE094A01015,INE103A01014,INE129A01019,INE213A01029,INE242A01010,INE245A01021,IT0001233417,IT0003128367,IT0003132476,IT0005495657,JP3180400008,JP3228600007,JP3246400000,JP3350800003,JP3522200009,JP3526600006,JP3573000001,JP3585800000,JP3600200004,JP3605400005,JP3845400005,JP3850200001,KR7003480001,KR7010950004,KR7015760002,KR7036460004,LU0075646355,MHY8564W1030,MYL4324OO009,MYL4677OO000,MYL5347OO009,MYL5681OO001,MYL6033OO004,NL0000360618,NL00150003E1,NO0003078800,NO0005052605,NO0010199151,NZCENE0001S6,PHY0001Z1040,PHY5764J1483,PHY6885F1067,PK0022501016,PLPKN0000018,PTEDP0AM0009,RU0009024277,RU0009062467,TH0355A10Z04,TH0465010005,TH0471010Y04,TRATUPRS91E8,US00130H1059,US0188021085,US0236081024,US0255371017,US03743Q1085,US0495601058,US1258961002,US12653C1080,US1270971039,US1307881029,US15189T1079,US1667641005,US20825C1045,US2091151041,US2333311072,US25179M1036,US25746U1097,US2620371045,US26441C2044,US26875P1012,US26884L1098,US2810201077,US29364G1031,US29670G1022,US30034W1062,US30040W1080,US30161N1019,US30231G1022,US3379321074,US4062161017,US4198701009,US42330P1075,US4234521015,US42809H1077,US5526901096,US6267171022,US62955J1034,US6361801011,US65339F1012,US65473P1057,US6708371033,US6745991058,US6752321025,US6826801036,US69331C1080,US69351T1060,US7034811015,US7234841010,US7237871071,US7445731067,US75281A1097,US78454L1008,US8168511090,US8425871071,US8454671095,US88642R1095,US9026531049,US9026811052,US91913Y1001,US92939U1060,US9694571004,US98389B1008,ZAE000006896
1858.26,524.6,14.4,15.4,1354.72,243.08,15.94,14.74,66.1,1526.85,146.7,73.12,57.3,132.89,74.7,264.19,55.05,92.76,102.09,121.2,943.69,735.75,1189.38,123.34,222.67,625.05,870.21,2938.13,476.9,1111.77,299.63,3.38,4.11,0.46,4.27,8.6,20.99,26.5,5.42,7.12,5.87,2.77,1517.09,1797.34,2106.3,1202.23,544.94,71.69,721.53,84.44,62.88,14120.52,46.73,569.44,8502.84,3642.91,31.11,492.29,55163.13,406.15,74447.22,736.78,820.72,51.43,402.9,570.51,7536.68,222.96,831.18,4149.43,1232.3,1.92,0.05,20.9,2.92,9.13,1.83,0.75,1.47,1.27,2.98,7.61,507.36,93.98,193.68,410.23,5.19,8.19,6.42,6.43,7.91,6.57,3.79,8.26,3.55,6.68,6.34,6.7,0.15,1.02,0.17,0.07,21.47,81.02,172.31,936.31,37.48,19.76,27.62,1370.98,331.82,12.35,568.8,92.98,49.02,1.39,18.45,0.75,14.1,30.82,108.38,11.18,4.13,13.81,1.78,1.84,591230.39,1302.96,2442.26,120.59,1215.87,2115.85,749.84,521.26,89.4,93.76,5231.29,1128.83,3311.26,1725.55,4106.42,2077.26,324.48,919.38,85.3,3404.74,170.33,4025.33,3297.55,646.92,1429.45,946.44,1362.74,2361.13,7010.13,1279.34,656.26,1403.56,152.5,1328.58,488.26,3109.07,1139.42,186.29,4799.7,1425.85,986.59,1202.9,944.76,144.38,1759.66,1260.25,1762.88,901.69,882.82,23.29,2380.81,119.03,248.42,1735.46,2678.1,1784.97,432.56,1240.52,1873.77,592.12,2303.25,2379.91,1760.3,576.3
2254.15,564.59,12.29,14.34,880.03,211.3,13.84,11.33,63.83,1848.97,141.67,84.05,57.38,126.04,77.57,304.35,49.76,161.21,100.24,106.01,871.99,728.18,1157.64,123.19,219.35,598.64,836.44,3268.57,426.04,1053.75,371.45,3.18,4.32,0.45,3.91,8.08,20.18,22.71,4.15,5.95,4.55,3.23,1581.65,1908.36,2305.38,1374.38,591.1,132.49,720.97,80.48,68.28,15019.2,44.89,734.75,8222.3,3663.58,29.64,527.74,48503.66,447.97,71579.32,654.34,877.81,43.41,453.35,549.81,7381.85,228.95,879.52,3793.87,1216.58,1.78,0.04,19.81,2.1,13.83,1.54,0.7,1.65,1.02,2.72,7.83,735.71,91.58,190.18,455.7,3.93,6.92,5.73,5.73,7.23,5.97,3.07,7.73,3.32,5.93,5.74,6.08,0.1,1.05,0.14,0.08,21.77,108.47,173.83,936.31,40.71,19.48,25.94,1180.38,368.15,12.94,534.23,96.43,43.09,1.17,13.55,0.59,17.58,27.95,138.08,10.5,4.24,10.38,1.18,1.1,454088.98,1362.92,2304.02,111.1,1039.17,2115.85,746.39,296.25,87.71,100.78,5280.41,1034.59,2982.07,1623.31,3522.97,1804.52,344.11,821.98,91.72,2889.67,163.62,4443.97,2972.04,532.13,1331.21,913.17,1250.56,2123.24,6364.1,1057.4,696.0,1370.75,180.0,1509.68,464.17,2991.38,1011.89,240.93,4409.26,1322.99,694.64,1017.84,763.53,165.01,1528.12,1184.85,1530.05,1237.29,789.89,22.61,2008.54,88.58,271.48,1682.87,2344.36,2196.89,430.66,1288.85,1686.07,666.05,2104.37,2551.53,1605.99,467.3
2334.75,518.56,14.36,13.69,1006.04,220.48,13.84,15.21,53.29,2000.37,150.42,79.75,55.54,132.35,70.93,322.37,51.24,171.56,103.11,90.13,1079.57,679.95,1285.82,123.59,218.1,669.53,996.98,3821.78,486.23,1056.97,483.64,2.91,3.86,0.41,3.65,8.42,21.5,27.45,4.37,6.09,5.06,3.06,1694.46,2183.03,2236.65,1490.46,614.59,125.35,835.52,78.44,63.77,16991.63,50.06,651.48,8847.02,4127.67,22.63,515.96,57662.02,507.23,71992.8,708.25,887.75,51.23,534.65,610.05,8245.62,250.48,891.87,4062.92,1203.2,1.81,0.04,20.17,1.99,10.81,1.42,0.75,1.44,0.83,2.34,6.22,609.77,104.16,204.69,586.32,5.12,7.18,6.11,5.96,7.56,6.68,3.64,7.88,3.75,6.55,6.04,6.36,0.12,1.16,0.16,0.08,24.96,139.48,160.11,963.06,41.36,19.58,25.43,1498.43,345.4,13.24,542.92,107.87,42.19,1.19,13.79,0.59,17.73,28.56,129.44,15.71,4.08,11.03,1.56,0.95,369938.57,1280.6,2493.46,117.18,1101.52,2888.16,713.71,320.57,80.16,115.12,4482.21,1185.53,3690.78,1969.26,3722.69,1772.93,449.12,861.19,127.36,3127.99,227.33,5275.38,1875.22,530.49,1304.23,965.23,1436.59,2098.34,6585.92,1178.86,749.54,1513.47,253.75,1757.75,594.82,3293.41,1151.81,306.76,4852.21,1577.74,906.05,1136.28,1000.49,162.84,1683.88,1223.73,1614.47,1722.03,805.98,28.56,2093.25,94.12,291.61,1587.24,2298.13,2079.2,483.9,1296.9,1944.6,801.54,2372.07,2689.93,1817.46,464.65
2336.65,463.37,11.05,12.21,873.16,215.48,11.53,13.08,49.52,2032.58,134.23,70.11,46.32,113.85,64.95,284.07,48.28,120.04,106.82,108.17,1088.1,753.01,1368.98,138.72,228.78,758.8,1044.68,3632.88,479.46,1057.93,443.0,2.67,3.78,0.4,3.83,7.77,20.97,28.39,4.72,6.07,6.0,2.81,1527.24,2115.75,1919.87,1412.76,605.85,117.27,781.37,71.29,62.9,17255.29,44.22,568.53,9753.78,4587.28,25.46,534.19,54684.04,477.11,67894.61,801.04,817.57,46.04,482.77,727.05,8159.37,210.35,910.67,3917.78,1243.72,1.65,0.03,22.2,1.34,11.84,1.27,0.56,1.35,0.69,1.97,4.62,514.69,98.76,203.86,595.53,5.78,7.55,5.71,5.58,7.44,7.07,3.72,8.47,3.81,6.02,5.49,5.88,0.13,1.16,0.16,0.07,20.12,166.46,166.21,829.31,40.71,19.3,20.88,1420.48,324.8,11.77,538.13,96.25,36.51,1.09,13.83,0.52,15.58,25.58,122.94,15.39,3.7,10.86,1.74,1.02,422010.12,1462.52,2496.95,138.96,1353.23,2811.96,691.91,342.5,78.28,118.31,4634.05,1339.62,3398.81,2033.86,4497.58,1981.74,445.08,1008.22,109.8,3425.9,267.22,5459.32,2194.08,668.45,1726.97,961.41,1436.59,2372.2,6564.79,1453.93,805.36,1760.26,248.75,1775.47,585.62,3462.04,1179.29,237.83,5165.26,1549.91,1007.6,1193.69,1033.64,149.81,1721.25,1511.45,1840.98,1532.2,1013.03,28.05,2534.86,63.67,329.43,1758.99,2668.87,2687.81,452.53,1323.33,1837.81,757.46,2543.09,2295.81,2029.58,437.59
2245.09,498.05,8.91,11.73,929.61,224.6,7.44,14.19,45.75,2216.19,135.58,75.97,50.85,116.69,56.09,273.55,37.66,123.47,118.98,120.21,1294.51,778.95,1466.16,144.83,228.99,789.65,1074.6,4414.41,502.46,1137.81,463.9,2.44,3.87,0.4,3.91,8.9,25.9,37.38,5.2,5.99,6.54,2.68,1729.93,2227.55,2014.49,1338.97,598.67,134.36,808.3,69.93,44.37,17771.54,46.76,457.8,8848.33,4630.89,20.58,491.43,57664.49,483.74,65392.59,712.91,801.29,46.28,458.32,688.36,8763.13,224.6,954.69,3847.68,1335.38,1.63,0.04,21.67,1.54,12.8,1.53,0.49,1.11,0.79,1.86,5.21,472.09,103.1,219.23,602.99,5.39,8.27,6.48,6.03,8.72,7.53,4.14,8.97,4.16,6.4,5.99,6.48,0.1,1.04,0.15,0.06,24.64,169.71,176.16,809.24,44.91,20.23,20.21,1570.73,393.33,14.01,561.85,109.48,39.96,1.04,13.77,0.32,12.16,24.77,124.13,14.05,3.73,10.33,1.41,0.56,328481.69,1418.82,2304.47,138.96,1336.38,3532.19,812.65,410.1,96.56,159.23,4634.05,1457.02,3717.05,2454.56,4235.92,2099.43,553.17,1039.58,116.55,3502.07,349.13,5893.63,2460.25,777.26,1794.33,953.78,1485.09,2514.06,7077.47,1458.05,930.75,1707.9,230.31,2116.55,613.23,3620.76,1304.35,258.32,5641.64,1720.78,983.78,1174.86,1142.13,169.35,1985.4,1511.45,1821.7,1308.47,1032.89,40.63,2632.01,124.57,351.9,1794.53,2775.9,2924.97,591.33,1422.58,2024.6,766.12,2560.31,2544.53,2058.66,489.61
2283.7,498.53,7.67,15.99,1150.83,284.62,9.53,13.6,49.48,2142.1,156.78,88.9,62.25,152.48,63.93,360.06,39.68,131.89,130.42,108.03,1184.5,845.9,1341.55,175.95,243.03,794.46,1012.85,4411.86,519.78,1187.78,503.98,2.4,4.11,0.39,3.69,8.38,30.06,40.7,7.64,8.83,8.59,2.54,1597.36,2151.57,2065.58,1263.68,609.72,146.56,761.62,74.08,54.75,17843.17,51.89,490.94,8486.91,4673.41,18.95,578.37,60850.74,446.41,67137.66,857.06,885.4,63.17,469.6,816.07,8929.5,219.42,956.92,4006.31,1283.67,1.31,0.04,21.43,1.44,11.1,1.36,0.5,1.21,0.87,2.02,7.73,477.81,106.23,244.67,720.89,6.1,8.61,7.11,6.54,8.7,7.65,4.75,8.77,4.4,6.9,6.35,6.77,0.11,1.54,0.17,0.07,23.45,167.54,171.48,675.48,40.15,18.92,22.91,1712.39,405.5,14.13,619.17,105.42,42.68,0.86,13.58,0.32,11.71,24.79,130.84,13.03,3.75,10.44,1.49,0.52,321974.57,1483.87,2164.02,130.13,1113.26,3414.27,776.6,398.83,116.83,135.28,4820.41,1508.03,3410.44,2173.2,3846.41,1884.37,520.07,974.25,126.35,3389.34,359.87,5715.93,2391.76,722.45,1486.22,964.25,1459.92,2306.64,6668.64,1356.49,862.23,1586.98,270.94,2123.65,569.66,3465.33,1195.02,326.63,5358.44,1714.28,1014.41,1114.61,1026.69,165.01,1768.11,1451.41,1710.86,1545.76,978.72,34.68,2483.62,138.41,411.16,1632.34,2494.96,1976.33,549.77,1455.66,1875.9,831.6,2401.23,2561.49,1878.38,500.22
2262.67,479.66,10.41,15.54,1202.56,277.13,10.57,13.12,53.21,2145.32,169.06,86.72,71.88,164.97,76.95,314.11,47.3,160.58,131.88,105.65,1145.54,825.46,1374.49,177.88,241.99,795.57,898.3,3884.4,469.85,1225.88,466.84,2.41,3.71,0.36,3.47,7.98,33.83,48.27,8.21,10.28,10.86,2.9,1706.39,2458.13,1965.76,1368.58,553.11,124.63,731.18,62.88,45.43,17172.81,53.11,571.13,8396.08,4673.29,16.93,517.42,55451.96,452.65,69111.87,739.03,890.66,58.47,488.65,810.41,8485.8,198.98,927.54,4187.74,1232.02,1.28,0.04,21.02,1.43,10.38,1.3,0.45,1.35,0.83,1.84,7.41,486.35,98.04,236.12,705.83,5.33,8.07,6.86,6.19,8.7,7.45,3.97,8.47,4.23,6.48,6.06,6.51,0.1,1.43,0.16,0.07,23.97,191.46,169.92,642.05,42.1,16.86,20.38,1687.73,372.3,14.65,569.29,101.04,38.74,0.8,12.13,0.27,12.3,24.63,121.02,14.19,3.78,9.85,1.53,0.4,313902.79,1737.95,2230.77,139.53,1233.04,2888.16,915.27,460.8,132.76,118.12,4802.3,1708.89,3176.71,2193.6,3935.67,1934.47,423.46,1032.47,107.94,3708.74,317.92,6167.58,2296.97,720.79,1608.56,983.69,1485.09,2442.54,6796.07,1479.81,842.82,1535.6,241.25,1818.24,558.13,3725.73,1211.36,327.87,5420.27,1670.99,1073.0,1164.32,987.08,132.44,1840.03,1525.08,2105.68,1352.54,1153.35,29.24,2411.89,132.88,292.64,1800.37,2615.36,2332.07,490.59,1557.42,2053.2,679.36,2408.81,2565.33,2088.35,472.15
2610.77,451.66,10.39,18.58,1381.67,275.43,12.56,14.18,53.95,2451.33,160.87,85.61,81.17,140.19,75.45,360.92,57.14,155.06,146.39,113.94,1314.7,829.33,1467.33,190.47,248.02,815.77,973.19,3882.65,507.75,1276.46,563.79,2.4,3.61,0.36,3.56,7.09,38.71,54.42,7.99,11.51,10.94,2.65,1761.54,2092.75,1870.88,1287.42,552.05,122.46,763.21,66.54,53.2,17220.25,56.62,537.37,11236.86,4717.77,15.23,511.84,58528.11,437.8,65920.65,805.04,832.73,73.87,488.58,783.63,8805.93,203.56,939.83,4438.99,1262.56,1.3,0.05,20.66,1.37,9.56,1.36,0.42,1.18,0.7,1.76,7.63,504.06,95.13,246.45,703.17,5.32,7.88,7.72,7.06,9.33,7.29,4.34,8.03,4.34,7.3,6.75,7.26,0.1,1.48,0.16,0.06,23.77,236.57,167.58,642.05,41.13,18.08,20.21,1821.9,396.58,15.94,631.83,117.27,35.14,0.84,12.81,0.28,12.09,23.79,116.45,16.57,3.96,13.28,1.65,0.43,276515.49,2073.35,2479.82,155.92,1347.1,3657.37,933.1,477.44,163.21,127.99,5280.02,1913.0,3423.72,2671.17,4132.02,2142.56,542.06,1219.15,122.8,4534.38,411.35,6705.36,2413.64,816.69,1712.2,1244.19,1533.73,2771.42,6971.35,1456.28,968.44,1614.41,287.5,2103.27,631.35,4006.16,1349.85,344.64,5763.76,1866.73,1321.41,1309.86,1054.11,151.44,2202.0,1705.59,2612.6,1701.69,1200.72,37.74,2600.18,221.46,405.05,1872.39,3244.59,2450.65,619.42,1464.31,2123.27,791.22,2623.86,2839.53,2386.63,609.35
2524.43,449.45,9.23,16.24,1250.49,213.5,9.63,13.81,44.23,2700.66,148.68,84.37,79.22,140.01,76.54,340.43,51.17,138.48,142.67,115.31,1367.21,823.88,1472.17,173.07,257.25,848.48,947.01,4090.22,496.9,1450.77,553.18,2.4,3.68,0.38,3.61,7.37,35.24,54.89,7.16,9.72,11.03,2.55,1662.81,2250.63,1922.11,1240.02,609.31,122.12,708.29,64.05,46.63,16959.38,52.99,648.18,11302.82,5110.61,21.67,535.2,56787.04,432.07,65215.49,890.79,908.36,76.48,511.01,850.09,8739.25,209.17,940.12,4463.26,1260.0,1.55,0.04,20.9,1.26,9.85,1.21,0.43,1.08,0.65,1.56,6.37,442.02,92.53,223.4,674.4,5.63,7.93,7.79,7.28,9.39,7.07,4.52,8.56,4.5,7.26,7.09,7.43,0.09,1.53,0.15,0.06,24.14,240.45,151.21,465.48,36.59,16.83,20.2,1762.0,405.82,14.53,615.36,104.34,33.88,0.69,10.69,0.25,11.2,20.41,113.36,14.74,3.62,10.82,1.45,0.4,248988.35,2227.83,2490.41,163.91,1495.19,3432.41,927.48,492.29,125.96,130.39,5380.59,2396.08,3454.11,2708.94,4503.16,2391.63,557.23,1335.6,107.77,5197.3,418.07,7546.32,2253.22,999.48,1693.93,1365.33,1462.1,3483.15,7611.9,1584.99,896.29,1719.16,285.94,2057.0,618.86,4805.47,1310.67,310.48,6214.62,2299.54,1345.56,1306.03,1074.9,144.38,2740.65,1439.73,3279.72,1864.41,1483.14,38.59,3251.48,213.15,451.55,2023.31,3515.53,2766.87,698.05,1472.78,2257.06,924.18,2461.8,2604.51,2618.75,602.52
2334.67,389.48,9.32,14.96,1311.13,214.68,8.79,13.05,41.22,2623.35,136.34,85.67,79.27,122.46,64.26,316.06,48.13,106.77,141.39,131.37,1202.61,866.1,1718.6,173.23,252.7,825.18,845.7,3258.81,438.66,1470.08,500.1,2.3,3.4,0.36,3.49,7.32,37.74,65.78,8.12,9.48,10.18,2.34,1902.22,2217.39,1974.33,1073.68,585.68,114.68,610.85,62.32,49.23,16565.55,46.59,614.78,12024.35,4854.62,20.07,545.63,54149.87,462.92,71658.59,874.85,899.9,73.44,516.57,849.97,8566.14,182.65,977.44,4564.09,1345.88,1.46,0.04,18.12,1.31,7.5,1.16,0.41,1.01,0.63,1.4,6.23,397.09,88.48,228.18,631.34,5.26,7.97,7.33,6.53,8.95,7.2,4.45,8.82,4.2,6.98,6.61,7.08,0.08,1.59,0.12,0.05,19.54,191.81,148.43,532.37,39.83,16.45,23.63,1544.04,416.82,13.5,583.28,84.66,35.1,0.6,7.47,0.2,10.21,19.69,97.33,13.63,4.16,10.48,1.45,0.36,278628.46,1837.55,2613.27,155.59,1585.95,3211.08,1039.9,500.1,132.83,125.59,5474.8,2128.78,3327.49,2680.57,4643.37,2258.76,466.91,1370.1,89.19,5238.96,423.81,6906.29,2824.53,1027.99,1712.2,1349.55,1373.62,3466.97,7617.24,1522.47,678.8,1623.65,248.75,1790.09,573.22,4724.7,1171.64,290.61,5944.41,2308.28,1392.18,1281.28,979.42,122.13,2753.86,1603.42,3235.53,1525.42,1277.16,35.53,3019.55,193.78,458.89,2011.16,3183.62,2529.71,708.6,1458.65,2158.17,868.37,2322.89,2577.54,2454.08,584.69
