Company,ISIN,GICSSectorName,Country,Region
Schlumberger Limited,AN8068571086,Energy,UNITED STATES,AMER
Aluar Aluminio Argentino S.A.I.C.,ARALUA010258,Materials,ARGENTINA,EM
Banco BBVA Argentina S.A.,ARP125991090,Financials,ARGENTINA,EM
Ternium Argentina S.A.,ARSIDE010029,Materials,ARGENTINA,EM
Flughafen Wien Aktiengesellschaft,AT00000VIE62,Industrials,AUSTRIA,EUR
Erste Group Bank AG,AT0000652011,Financials,AUSTRIA,EUR
OMV Aktiengesellschaft,AT0000743059,Materials,AUSTRIA,EUR
VERBUND AG,AT0000746409,Utilities,AUSTRIA,EUR
Wienerberger AG,AT0000831706,Industrials,AUSTRIA,EUR
Vienna Insurance Group AG,AT0000908504,Financials,AUSTRIA,EUR
VOESTALPINE AG,AT0000937503,Materials,AUSTRIA,EUR
Mayr-Melnhof Karton AG,AT0000938204,Materials,AUSTRIA,EUR
Immofinanz AG,AT0000A21KS2,Real Estate,AUSTRIA,EUR
ADBRI Limited,AU000000ABC7,Materials,AUSTRALIA,PAC
Aristocrat Leisure Limited,AU000000ALL7,Consumer Discretionary,AUSTRALIA,PAC
AMP Limited,AU000000AMP6,Financials,AUSTRALIA,PAC
Ansell Limited,AU000000ANN9,Health Care,AUSTRALIA,PAC
ANZ Group Holdings Limited,AU000000ANZ3,Financials,AUSTRALIA,PAC
ASX Limited,AU000000ASX7,Financials,AUSTRALIA,PAC
Bendigo and Adelaide Bank Limited,AU000000BEN6,Financials,AUSTRALIA,PAC
BHP Group Limited,AU000000BHP4,Materials,UNITED KINGDOM,EUR
Bank of Queensland Limited,AU000000BOQ8,Financials,AUSTRALIA,PAC
Beach Energy Limited,AU000000BPT9,Energy,AUSTRALIA,PAC
BWP Trust,AU000000BWP3,Real Estate,AUSTRALIA,PAC
Commonwealth Bank of Australia,AU000000CBA7,Financials,AUSTRALIA,PAC
Challenger Limited,AU000000CGF5,Financials,AUSTRALIA,PAC
Cochlear Limited,AU000000COH5,Health Care,AUSTRALIA,PAC
Computershare Limited,AU000000CPU5,Information Technology,AUSTRALIA,PAC
Charter Hall Retail REIT,AU000000CQR9,Real Estate,AUSTRALIA,PAC
CSL Limited,AU000000CSL8,Health Care,AUSTRALIA,PAC
CSR Limited,AU000000CSR5,Industrials,AUSTRALIA,PAC
Downer EDI Limited,AU000000DOW2,Industrials,AUSTRALIA,PAC
Dexus,AU000000DXS1,Real Estate,AUSTRALIA,PAC
Elders Limited,AU000000ELD6,Consumer Staples,AUSTRALIA,PAC
Energy Resources of Australia Ltd,AU000000ERA9,Energy,AUSTRALIA,PAC
Flight Centre Travel Group Limited,AU000000FLT9,Consumer Discretionary,AUSTRALIA,PAC
Goodman Group,AU000000GMG2,Real Estate,AUSTRALIA,PAC
The GPT Group,AU000000GPT8,Real Estate,AUSTRALIA,PAC
GUD Holdings Limited,AU000000GUD2,Consumer Discretionary,AUSTRALIA,PAC
GWA Group Limited,AU000000GWA4,Industrials,AUSTRALIA,PAC
Hills Limited,AU000000HIL8,Industrials,AUSTRALIA,PAC
Harvey Norman Holdings Limited,AU000000HVN7,Consumer Discretionary,AUSTRALIA,PAC
Iluka Resources Limited,AU000000ILU1,Materials,AUSTRALIA,PAC
James Hardie Industries plc,AU000000JHX1,Materials,AUSTRALIA,PAC
Lendlease Group,AU000000LLC3,Real Estate,AUSTRALIA,PAC
Macmahon Holdings Limited,AU000000MAH3,Industrials,AUSTRALIA,PAC
Mirvac Group,AU000000MGR9,Real Estate,AUSTRALIA,PAC
Mount Gibson Iron Limited,AU000000MGX7,Materials,AUSTRALIA,PAC
Monadelphous Group Limited,AU000000MND5,Industrials,AUSTRALIA,PAC
Macquarie Group Limited,AU000000MQG1,Financials,AUSTRALIA,PAC
Metcash Limited,AU000000MTS0,Consumer Staples,AUSTRALIA,PAC
National Australia Bank Limited,AU000000NAB4,Financials,AUSTRALIA,PAC
Newcrest Mining Limited,AU000000NCM7,Materials,AUSTRALIA,PAC
Origin Energy Limited,AU000000ORG5,Energy,AUSTRALIA,PAC
Orica Limited,AU000000ORI1,Materials,AUSTRALIA,PAC
OZ Minerals Limited,AU000000OZL8,Materials,AUSTRALIA,PAC
Perpetual Limited,AU000000PPT9,Financials,AUSTRALIA,PAC
Qantas Airways Limited,AU000000QAN2,Industrials,AUSTRALIA,PAC
QBE Insurance Group Limited,AU000000QBE9,Financials,AUSTRALIA,PAC
Ramsay Health Care Limited,AU000000RHC8,Health Care,AUSTRALIA,PAC
St Barbara Limited,AU000000SBM8,Materials,AUSTRALIA,PAC
Sunland Group Limited,AU000000SDG6,Real Estate,AUSTRALIA,PAC
Sims Limited,AU000000SGM7,Materials,AUSTRALIA,PAC
Stockland,AU000000SGP0,Real Estate,AUSTRALIA,PAC
Sonic Healthcare Limited,AU000000SHL7,Health Care,AUSTRALIA,PAC
Santos Limited,AU000000STO6,Health Care,AUSTRALIA,PAC
