ISIN,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AN8068571086,Schlumberger Limited,,,,,,,1943472.5113076614,1987916.027666005,1530147.9626,1252016.4091493452,1343590.1168000002,1613941.8544,1749116.7308,2207431.364,1797861.1331551352,2107712.985161917,1405559.5716000001,1140000.0,1357999.8853000016,1423000.0939000007,1628999.94,1125000.0,1368937.0
ARALUA010258,Aluar Aluminio Argentino S.A.I.C.,,,,,,,597777.5008467849,520344.4386940264,690058.7147988611,732051.7792929981,705017.6273564424,795380.5319304946,909613.8049504703,833543.4789891264,1106529.5232469523,1080222.602449217,1191060.3490236462,1156622.243269634,1330969.3987272868,1518440.031,1559740.613,1377179.528,1238082.492
ARP125991090,Banco BBVA Argentina S.A.,,,,,,,785.3985502725599,1108.56353903364,1294.082931987952,1096.2837397722,454.4132243015999,1454.4442162728499,1314.6504067203032,2003.7675270050859,1652.3918150836848,1948.3528684154112,1356.0501865287897,273.43849986560133,216.1500429592014,167.07089148320108,1696.6092865199353,1041.535,2471.235
ARSIDE010029,Ternium Argentina S.A.,,,,,,,6217288.249869515,6192381.732971325,6599142.47102515,6964403.519893071,5283041.94286201,6831509.223164243,9363393.880238324,6749994.859154793,7145925.110898419,3820752.9204202555,3803249.5027735513,5436863.999625196,6976750.942102325,7239679.761,5470523.738,4794068.401,9516734.563
AT00000VIE62,Flughafen Wien Aktiengesellschaft,,,,,,,14339.08235609051,17434.924514019567,20735.147560716738,22176.604347492867,21424.904448485042,20898.22910862957,23943.137101456527,21063.42403456246,21969.114884290637,24245.55406209337,19872.6109423246,21263.739100000024,18411.733645617336,12880.74223445274,12758.131499999925,7283.084,8132.46
AT0000652011,Erste Group Bank AG,,,,,,,7596.0544348941385,12552.50113506176,11476.177472465519,11104.95311443,28018.7326,26716.3404,46110.219999999994,39616.590000000004,33578.7135772968,33406.4344397288,35280.46424013711,22359.968,27854.193,27331.882,29950.072,24929.0,21530.0
AT0000743059,OMV Aktiengesellschaft,,,,,,,7124505.600147692,14031856.323254863,12081592.014479874,11993081.641353594,11734247.7568,12208746.0112,11559487.689000001,10967200.476200003,12890221.567451352,12784179.047103569,11878362.396416498,11051020.295900045,11151068.275390945,11154054.323,10637008.058,10747663.045,13903444.295
AT0000746409,VERBUND AG,,,,,,,3951432.267929775,3826382.334551521,3505339.218519697,3072378.464751046,2393674.9165678825,3293587.0100999996,3993636.1773324627,3127419.7292989455,2814487.6636116477,1789021.1752669397,1759550.8252758996,1027566.7341230584,1373338.0028374335,1108015.3017382538,1085552.823,662079.532,456989.297
AT0000831706,Wienerberger AG,,,,,,,1097315.0661604065,2146814.3885564134,2477380.575023139,2045268.3635481384,1500023.865713877,1958074.7237736287,2029458.8063509462,1807035.503219107,1802211.5259482143,1493795.085,1683405.6233681967,1824664.545,1960073.155,2358293.555,2354847.865,2138555.17,2527428.154
AT0000908504,Vienna Insurance Group AG,,,,,,,4001.1020111220064,5073.512283556158,6512.127347958174,7791.656892203242,7390.928055559703,7950.938505103585,7824.387661835521,7904.258764483848,7676.4933329461255,7439.5379990371775,6130.694425575403,5978.427,8169.67,7302.40012940348,7345.888099999977,13512.0,14210.0
